PDE,S1,S2,S3,S4,S5
CHlin,1.0,1.0,1.0,0.9340787002775743,0.937568494583686
R+Adv,,,0.0,0.0,
R+Adv+Disp,,,0.0,0.0,
R+Adv+FracDiff,1.0,1.0,1.0,0.9949447952101655,0.9516953264816461
R+Adv+Hyper,1.0,1.0,1.0,0.9484367984396375,0.9169827023881156
R+Adv+Hyper+SH,1.0,1.0,1.0,0.9265992437746337,0.9303523138338787
R+Adv+Loss,,,0.0,0.0,
R+Adv+Nonlocal,1.0,1.0,1.0,0.9273273740987594,0.9526723274167495
R+Adv+SH,1.0,1.0,1.0,0.914514830310379,0.9467158969194922
R+Adv+Sixth,1.0,1.0,1.0,0.9393803668268761,0.9691202298006769
R+Diff,1.0,1.0,1.0,0.9695691871797109,0.8605508018736552
R+Diff+Adv,1.0,1.0,1.0,0.9694815037686884,0.8222452957773663
R+Diff+Adv+Hyper,1.0,1.0,1.0,0.961112981739561,0.9067763023784825
R+Diff+Adv+Hyper+SH,1.0,1.0,1.0,0.9374294218576894,0.9198805986202678
R+Diff+Adv+SH,1.0,1.0,1.0,0.9275846080729482,0.9288167655562503
R+Diff+Disp,1.0,1.0,1.0,0.9694044407155975,0.8664855171947954
R+Diff+FracDiff,0.999999999999998,0.9999999999999991,0.9999999999999991,0.8615986972836513,0.8255333505896948
R+Diff+Hyper,0.9999999999999638,0.9999999999999989,0.9999999999999989,0.96465328884166,0.9045330018007259
R+Diff+Hyper+SH,1.0,1.0,1.0,0.9374205360814233,0.9003240145323399
R+Diff+Loss,1.0,1.0,1.0,0.9697723423136917,0.8605508018568371
R+Diff+Nonlocal,1.0,1.0,1.0,0.9688972935334849,0.8832770798710381
R+Diff+SH,1.0,1.0,1.0,0.9438998666581175,0.8996696876743551
R+Diff+Sixth,0.9999999999998533,0.9999999999998447,0.9999999999998818,0.9497562763647456,0.9577563117561834
R+Disp,,,0.0,0.0,
R+Disp+Loss,,,0.0,0.0,
R+Disp+Nonlocal,1.0,1.0,1.0,0.9273273740983947,0.9480096175869118
R+Disp+Sixth,1.0,1.0,1.0,0.9394506074268675,0.9629671035205858
R+FracDiff,1.0,1.0,1.0,0.9949936558924972,0.9543387694078294
R+FracDiff+Disp,1.0,1.0,1.0,0.99488137427747,0.9494390549532636
R+FracDiff+Loss,1.0,1.0,1.0,0.9949798810706121,0.9543387694078289
R+FracDiff+Nonlocal,1.0,1.0,0.9999895823551748,0.9942451693546934,0.9490018482244101
R+FracDiff+Sixth,0.9999999985250188,0.9999999999767082,0.9999999999767082,0.9606061283050005,0.9550408449115377
R+Hyper,1.0,1.0,1.0,0.9484932562634116,0.9061581200517963
R+Hyper+Disp,1.0,1.0,1.0,0.9486214252540716,0.8971934824513526
R+Hyper+FracDiff,0.9999999999968852,0.999999999997552,0.999999999997552,0.969628958689496,0.8748588619744766
R+Hyper+Loss,1.0,1.0,1.0,0.9485539412601987,0.9061581200517963
R+Hyper+Nonlocal,1.0,1.0,1.0,0.9544030633356022,0.8970464669707254
R+Hyper+SH,0.9999999999999962,0.9999999999999998,0.9999999999999998,0.935521928036487,0.9003720504806156
R+Hyper+Sixth,0.9999999905981443,0.999999999965291,0.9999999999704225,0.940841736219875,0.9536583378895382
R+KSlin,1.0,1.0,1.0,0.9339695105061233,0.9375684945836855
R+Loss,,,0.0,0.0,
R+Loss+Nonlocal,1.0,1.0,1.0,0.9273273740980073,0.9500265038035438
R+Mixed,1.0,1.0,1.0,0.9609828065051812,0.9080348823269453
R+Nonlocal,1.0,1.0,1.0,0.9273273740972241,0.950026503803544
R+SH,1.0,1.0,1.0,0.9147676526125389,0.9351040054054718
R+SH+Disp,1.0,1.0,1.0,0.9145318163149151,0.9237269920574112
R+SH+FracDiff,0.9999999999999999,1.0,0.9989241312871813,0.9624565072229061,0.8936298511872545
R+SH+Loss,1.0,1.0,1.0,0.9144610077412589,0.9351040054055448
R+SH+Nonlocal,1.0,1.0,0.9960404821967022,0.9212154099127807,0.9388513398775096
R+SH+Sixth,0.9999999999997512,0.99999999999998,0.9999999999999822,0.9286504934385278,0.9728344445346822
R+Sixth,1.0,1.0,1.0,0.9397555293624913,0.9559086100015115
R+Sixth+Loss,1.0,1.0,1.0,0.9397154832218053,0.9559086100015115
R+Sixth+Nonlocal,0.9999999999999999,1.0,0.9989042706914397,0.941961107212031,0.9446341447512117
