Rank,PDE,Median_R2
1,CHlin,1.0
2,R+Adv+FracDiff,1.0
3,R+Adv+Hyper,1.0
4,R+Adv+Hyper+SH,1.0
5,R+Adv+Nonlocal,1.0
6,R+Adv+SH,1.0
7,R+Adv+Sixth,1.0
8,R+Diff,1.0
9,R+Diff+Adv,1.0
10,R+Diff+Adv+Hyper,1.0
11,R+Diff+Adv+Hyper+SH,1.0
12,R+Diff+Adv+SH,1.0
13,R+Diff+Disp,1.0
14,R+Diff+Loss,1.0
15,R+Diff+Hyper+SH,1.0
16,R+Sixth,1.0
17,R+Sixth+Loss,1.0
18,R+Diff+Nonlocal,1.0
19,R+Diff+SH,1.0
20,R+Disp+Nonlocal,1.0
21,R+Disp+Sixth,1.0
22,R+FracDiff,1.0
23,R+FracDiff+Disp,1.0
24,R+Hyper+Loss,1.0
25,R+FracDiff+Loss,1.0
26,R+FracDiff+Nonlocal,1.0
27,R+Hyper,1.0
28,R+Hyper+Disp,1.0
29,R+Mixed,1.0
30,R+KSlin,1.0
31,R+Hyper+Nonlocal,1.0
32,R+Sixth+Nonlocal,1.0
33,R+SH+Nonlocal,1.0
34,R+SH+Loss,1.0
35,R+Loss+Nonlocal,1.0
36,R+Nonlocal,1.0
37,R+SH,1.0
38,R+SH+FracDiff,1.0
39,R+SH+Disp,1.0
40,R+Hyper+SH,0.9999999999999998
41,R+Diff+FracDiff,0.9999999999999991
42,R+Diff+Hyper,0.9999999999999989
43,R+SH+Sixth,0.99999999999998
44,R+Diff+Sixth,0.9999999999998447
45,R+Hyper+FracDiff,0.999999999997552
46,R+FracDiff+Sixth,0.9999999999767082
47,R+Hyper+Sixth,0.999999999965291
48,R+Adv,
49,R+Adv+Disp,
50,R+Adv+Loss,
51,R+Disp,
52,R+Disp+Loss,
53,R+Loss,
