PDE,Initial condition,S1,S2
CHlin,Clusters + singles,6.4300770140511715e-12,8.723165794637883e-12
CHlin,Many clusters,4.445096995671823e-09,3.6360826622209667e-09
CHlin,One central cluster,0.12845371637344402,0.09907009036491712
CHlin,Random smooth,9.33020298058788e-12,8.194597790457515e-12
R+Adv,Clusters + singles,1.1956247957501686e-13,2.049642507000289e-13
R+Adv,Many clusters,1.0675221390626505e-11,1.2536980001151768e-11
R+Adv,One central cluster,0.0001970999803027404,0.0005940927399771512
R+Adv,Random smooth,3.0744637605004333e-13,3.4160708450004814e-13
R+Adv+Disp,Clusters + singles,8.540177112501203e-14,1.0248212535001445e-13
R+Adv+Disp,Many clusters,1.8788389647502648e-12,2.937820926700414e-12
R+Adv+Disp,One central cluster,0.00023340961268043694,0.000576460170692145
R+Adv+Disp,Random smooth,3.0744637605004333e-13,3.4160708450004814e-13
R+Adv+FracDiff,Clusters + singles,1.311771204480185e-11,3.096668220992937e-11
R+Adv+FracDiff,Many clusters,1.309607806814046e-07,4.595196018569298e-09
R+Adv+FracDiff,One central cluster,7.593905446842302,7.403798913380866
R+Adv+FracDiff,Random smooth,4.362322469065615e-11,1.5269836677152152e-11
R+Adv+Hyper,Clusters + singles,3.4564843295251755e-12,5.731735086556001e-12
R+Adv+Hyper,Many clusters,6.639472432276796e-08,4.70639766371269e-08
R+Adv+Hyper,One central cluster,2.749402970245437,2.6722507556292125
R+Adv+Hyper,Random smooth,7.830097705261954e-11,8.014261801201008e-12
R+Adv+Hyper+SH,Clusters + singles,1.4046431602794708e-11,1.3283038580903692e-11
R+Adv+Hyper+SH,Many clusters,1.3974945131323227e-07,7.240931967888263e-08
R+Adv+Hyper+SH,One central cluster,0.14691795825464196,0.6685400805142171
R+Adv+Hyper+SH,Random smooth,2.3465527042126945e-11,3.8756876496005466e-13
R+Adv+Loss,Clusters + singles,4.564250212347866e-13,4.564250212347866e-13
R+Adv+Loss,Many clusters,2.120525977034049e-11,2.182205033957669e-11
R+Adv+Loss,One central cluster,0.0007700525009991645,0.0016404825857494229
R+Adv+Loss,Random smooth,7.031412489292658e-13,7.154770603139898e-13
R+Adv+Nonlocal,Clusters + singles,3.0531133177191805e-13,2.636779683484747e-13
R+Adv+Nonlocal,Many clusters,2.42861286636753e-11,5.523359547510154e-12
R+Adv+Nonlocal,One central cluster,0.0008393558698851841,0.0014646832941500598
R+Adv+Nonlocal,Random smooth,9.71445146547012e-14,1.2631870857957337e-13
R+Adv+SH,Clusters + singles,8.397323240801184e-14,3.310483200700467e-14
R+Adv+SH,Many clusters,2.3081334823225255e-11,2.424727085781342e-11
R+Adv+SH,One central cluster,0.0020649199009017205,0.005244488467884329
R+Adv+SH,Random smooth,7.024683864900991e-14,7.993605777301127e-14
R+Adv+Sixth,Clusters + singles,7.309197430826176e-11,2.99755631352547e-11
R+Adv+Sixth,Many clusters,3.577591887634613e-07,1.805040312768824e-07
R+Adv+Sixth,One central cluster,9.924512543109817,8.057164265355855
R+Adv+Sixth,Random smooth,7.935685912431067e-11,1.9291428018802367e-11
R+Diff,Clusters + singles,6.867304445898835e-13,4.690538555853262e-13
R+Diff,Many clusters,3.974476346895582e-09,2.4518214376146904e-09
R+Diff,One central cluster,0.22339411389335043,0.1923110423991411
R+Diff,Random smooth,3.80354437404607e-13,2.2374808558640488e-13
R+Diff+Adv,Clusters + singles,2.6837108034436447e-13,1.524934025208215e-12
R+Diff+Adv,Many clusters,8.07079217132958e-10,1.4905111993648928e-09
R+Diff+Adv,One central cluster,0.050896572057694475,0.08806015292764996
R+Diff+Adv,Random smooth,1.1721222283365652e-12,1.0141175648524763e-13
R+Diff+Adv+Hyper,Clusters + singles,1.3338722055777907e-09,1.279142452403903e-09
R+Diff+Adv+Hyper,Many clusters,1.1964237955908175e-07,9.9359522209852e-08
R+Diff+Adv+Hyper,One central cluster,3.5526960951796354,5.5855613590067374
R+Diff+Adv+Hyper,Random smooth,1.44490331877023e-09,1.3445387594401837e-09
R+Diff+Adv+Hyper+SH,Clusters + singles,4.194840084075437e-10,2.3229216288358342e-10
R+Diff+Adv+Hyper+SH,Many clusters,1.1388185830147412e-07,6.077420254338854e-07
R+Diff+Adv+Hyper+SH,One central cluster,24.65184769406884,17.606666461518135
R+Diff+Adv+Hyper+SH,Random smooth,2.6287528374971274e-10,3.602409122834501e-10
R+Diff+Adv+SH,Clusters + singles,4.47599376059656e-12,8.339303964609559e-13
R+Diff+Adv+SH,Many clusters,4.3600263785254375e-09,3.3952540047585263e-09
R+Diff+Adv+SH,One central cluster,0.07212444385720165,0.37288997788275974
R+Diff+Adv+SH,Random smooth,1.7529557313362952e-12,1.3785380023130088e-12
R+Diff+Disp,Clusters + singles,6.522417933387586e-13,1.1055042920979292e-12
R+Diff+Disp,Many clusters,5.134279235381911e-10,7.762894236261439e-10
R+Diff+Disp,One central cluster,0.12224358693114015,0.02575554317035334
R+Diff+Disp,Random smooth,5.028000807728042e-14,1.2384122217740813e-12
R+Diff+FracDiff,Clusters + singles,6.251925324699906e-07,4.2423418851929754e-08
R+Diff+FracDiff,Many clusters,0.00036925105626324967,0.00020730151709530038
R+Diff+FracDiff,One central cluster,80.74082906454808,76.59664857487556
R+Diff+FracDiff,Random smooth,8.906789878674696e-07,4.6490133573939826e-07
R+Diff+Hyper,Clusters + singles,6.088116788305342e-08,1.7913072952069343e-08
R+Diff+Hyper,Many clusters,9.294451135792769e-05,1.706311700399965e-05
R+Diff+Hyper,One central cluster,99.99999999999737,88.27162721541417
R+Diff+Hyper,Random smooth,8.958920079749078e-08,3.915600245818495e-09
R+Diff+Hyper+SH,Clusters + singles,6.956851595129489e-10,5.020771556325441e-10
R+Diff+Hyper+SH,Many clusters,2.2388289386060954e-07,3.515291818113761e-07
R+Diff+Hyper+SH,One central cluster,20.596799718613116,16.73000400736698
R+Diff+Hyper+SH,Random smooth,3.0508237320324685e-10,6.269074580216441e-12
R+Diff+Loss,Clusters + singles,2.272868313310836e-12,1.3499325114531126e-12
R+Diff+Loss,Many clusters,5.1837834568068e-09,3.762377333139789e-09
R+Diff+Loss,One central cluster,0.39389790309128414,0.29243886495482235
R+Diff+Loss,Random smooth,2.0832816953012904e-12,1.5829510541859944e-12
R+Diff+Nonlocal,Clusters + singles,3.647894825715209e-11,3.24945403917809e-11
R+Diff+Nonlocal,Many clusters,2.2400238700962898e-08,3.2564202001594824e-09
R+Diff+Nonlocal,One central cluster,1.41433079552028,0.3472624224132937
R+Diff+Nonlocal,Random smooth,4.317289242155513e-11,3.0060694674223974e-11
R+Diff+SH,Clusters + singles,3.109845714277526e-10,1.709743457922741e-11
R+Diff+SH,Many clusters,5.720373286166591e-07,2.768681284237573e-07
R+Diff+SH,One central cluster,10.054207071571053,5.0573218970558775
R+Diff+SH,Random smooth,6.423750420481156e-11,5.5644377994212846e-11
R+Diff+Sixth,Clusters + singles,7.252061739563942e-08,6.204146891832351e-08
R+Diff+Sixth,Many clusters,0.00013586295338730754,0.0001334109284925944
R+Diff+Sixth,One central cluster,80.54518856202476,68.72369981068138
R+Diff+Sixth,Random smooth,6.766450648380366e-07,7.931639629532583e-08
R+Disp,Clusters + singles,4.953302725250698e-13,4.782499183000674e-13
R+Disp,Many clusters,1.5662684824327207e-11,1.6789988203177366e-11
R+Disp,One central cluster,0.0007135723719772139,0.00039123374063498005
R+Disp,Random smooth,2.732856676000385e-13,3.2452673027504573e-13
R+Disp+Loss,Clusters + singles,8.881784197001252e-13,8.511709855459533e-13
R+Disp+Loss,Many clusters,6.920390186830142e-12,2.10572300337238e-11
R+Disp+Loss,One central cluster,0.0005758432889906789,0.0006730386886823049
R+Disp+Loss,Random smooth,6.291263806209221e-13,6.908054375445418e-13
R+Disp+Nonlocal,Clusters + singles,1.057919184353927e-12,9.000207986294603e-13
R+Disp+Nonlocal,Many clusters,3.2834845953289005e-11,1.0421293457814802e-12
R+Disp+Nonlocal,One central cluster,0.0012325150147152186,0.0028654915043249377
R+Disp+Nonlocal,Random smooth,1.578983857244667e-13,1.8947806286936006e-13
R+Disp+Sixth,Clusters + singles,5.7609728903921325e-11,6.747058148011302e-11
R+Disp+Sixth,Many clusters,3.2317772663143037e-07,8.808857081401828e-08
R+Disp+Sixth,One central cluster,6.8956863199630005,7.700840991517255
R+Disp+Sixth,Random smooth,2.7066036857639535e-10,9.234176762727376e-11
R+FracDiff,Clusters + singles,6.0091614224282755e-12,1.050441784837648e-11
R+FracDiff,Many clusters,1.5913639636813477e-07,6.555093220365157e-08
R+FracDiff,One central cluster,6.008936438222073,3.528969037142299
R+FracDiff,Random smooth,8.541885147923704e-11,2.5603450983278608e-11
R+FracDiff+Disp,Clusters + singles,1.8293059374977577e-11,4.850820599900684e-11
R+FracDiff+Disp,Many clusters,3.763493790114143e-08,2.5686102817373396e-08
R+FracDiff+Disp,One central cluster,3.201642893809223,9.612571068113402
R+FracDiff+Disp,Random smooth,2.2103686402575615e-10,1.4716433200262075e-10
R+FracDiff+Loss,Clusters + singles,9.756393224178181e-11,7.408888317665212e-11
R+FracDiff+Loss,Many clusters,3.970210580048514e-08,6.470885555782186e-08
R+FracDiff+Loss,One central cluster,17.90545667776343,3.519693339401041
R+FracDiff+Loss,Random smooth,2.940610717890498e-10,2.019619039907007e-10
R+FracDiff+Nonlocal,Clusters + singles,2.3598139315644014e-10,3.3312611928219365e-10
R+FracDiff+Nonlocal,Many clusters,1.601669607806697e-06,2.0133905959735584e-06
R+FracDiff+Nonlocal,One central cluster,99.31619457959086,78.75564531363067
R+FracDiff+Nonlocal,Random smooth,3.753228838832001e-09,1.2787084971124487e-09
R+FracDiff+Sixth,Clusters + singles,1.79822921747969e-06,1.5482831698643797e-06
