PDE,Initial condition,S1,S2,S3,S4,S5
CHlin,Clusters + singles,0.9999673068766962,0.9999672346431351,0.9999751560016114,0.9663719409849322,0.983191887118928
CHlin,Many clusters,0.9992060856622275,0.9992217984282371,0.9992649032996402,0.9996910345576125,0.9844052479515446
CHlin,One central cluster,0.8449547726925299,0.7311853614310565,0.8198552903020513,0.9738426652328402,0.9721555570347351
CHlin,Random smooth,0.9998588668531077,0.9998671103892628,0.9998675491017541,0.8910817048994997,0.9743108900323049
R+Adv,Clusters + singles,,,0.0,0.0,
R+Adv,Many clusters,,,0.0,0.0,
R+Adv,One central cluster,,,0.0,0.0,
R+Adv,Random smooth,,,0.0,0.0,
R+Adv+Disp,Clusters + singles,,,0.0,0.0,
R+Adv+Disp,Many clusters,,,0.0,0.0,
R+Adv+Disp,One central cluster,,,0.0,0.0,
R+Adv+Disp,Random smooth,,,0.0,0.0,
R+Adv+FracDiff,Clusters + singles,0.9987860253353438,0.9988498941156605,0.9988498941156634,0.9979799908916744,0.9793338147995738
R+Adv+FracDiff,Many clusters,0.9981495364404463,0.9982317591050579,0.9982317591050598,0.9999319348836588,0.9789933791581897
R+Adv+FracDiff,One central cluster,-5.551115123125783e-14,-2.220446049250313e-16,0.4114956388721124,0.982686912057521,0.9725402500327165
R+Adv+FracDiff,Random smooth,0.9983108555048723,0.9983929581636599,0.9983929581636477,0.9763852266308102,0.9950965204287497
R+Adv+Hyper,Clusters + singles,0.9975755793115983,0.9977495629487747,0.9985796907419872,0.9851917546168623,0.983564071262672
R+Adv+Hyper,Many clusters,0.9956206108684765,0.9958755152509184,0.9967127494502174,0.9999405884837037,0.9819280038969995
R+Adv+Hyper,One central cluster,-4.803535347264187e-11,-3.665956427312267e-13,0.5288517598517559,0.9767166811708873,0.9723759194237164
R+Adv+Hyper,Random smooth,0.9964031225413726,0.9966306872374942,0.9973308783976497,0.945942525072754,0.9812303267195649
R+Adv+Hyper+SH,Clusters + singles,0.9970405889088954,0.9973033003361753,0.9973033003361753,0.9764800833901807,0.9901649564168804
R+Adv+Hyper+SH,Many clusters,0.9930192108757101,0.9934191826352456,0.9934191826352456,0.9999307304828765,0.980623662210596
R+Adv+Hyper+SH,One central cluster,0.44020684197566085,0.43024630340225234,0.43024630340225223,0.9736308446660877,0.9733002497466945
R+Adv+Hyper+SH,Random smooth,0.9944577800370489,0.9948541752054751,0.9948541752054751,0.9269290197988233,0.9501106747929627
R+Adv+Loss,Clusters + singles,,,0.0,0.0,
R+Adv+Loss,Many clusters,,,0.0,0.0,
R+Adv+Loss,One central cluster,,,0.0,0.0,
R+Adv+Loss,Random smooth,,,0.0,0.0,
R+Adv+Nonlocal,Clusters + singles,0.9442412188879292,0.9470354081158883,0.9470354081395431,0.9932460531897954,0.9864793558351223
R+Adv+Nonlocal,Many clusters,0.9402047806676843,0.943034335965381,0.9430343359795417,0.9999191639620362,0.9829960846196156
R+Adv+Nonlocal,One central cluster,0.020300534774246204,0.0010053987055738123,0.38845637820773493,0.9760102931462425,0.9745386250045964
R+Adv+Nonlocal,Random smooth,0.9324518165990736,0.9355189179372408,0.9355189179169966,0.9033112490296404,0.9961987731713298
R+Adv+SH,Clusters + singles,0.988273919692984,0.9892535290993418,0.9902271902461758,0.9523375483345287,0.9850298072567885
R+Adv+SH,Many clusters,0.9774875191035194,0.9786707003288408,0.979151679914012,0.9999095921440209,0.9830944040703845
R+Adv+SH,One central cluster,0.9405372339569951,0.8181736780215505,0.8395926484101984,0.9735276918867825,0.9733063323044345
