Rank,PDE,Median_R2
1,R+Loss+Nonlocal,0.9999909463884784
2,R+Nonlocal,0.9999909463884771
3,R+FracDiff+Nonlocal,0.9999799511055167
4,R+Diff+Nonlocal,0.9999716833145322
5,R+FracDiff+Loss,0.9999647498336595
6,R+FracDiff,0.9999647342087868
7,R+Diff+FracDiff,0.9999597691397604
8,R+Diff+Loss,0.9999336374839537
9,R+Diff,0.9999336310995395
10,R+Hyper+FracDiff,0.9999114205289319
11,R+Mixed,0.999893747932909
12,R+SH+FracDiff,0.9998832723253985
13,R+FracDiff+Sixth,0.9998663502889462
14,R+Hyper+Nonlocal,0.9998620351584324
15,R+Diff+Hyper,0.9998580322665729
16,R+Diff+Sixth,0.9997651795888778
17,R+Hyper+Loss,0.9997476068868145
18,R+Hyper,0.9997475828405593
19,R+Diff+SH,0.9997452841921217
20,R+Sixth+Nonlocal,0.9996917387532736
21,R+Hyper+Sixth,0.9996817650717165
22,R+Diff+Hyper+SH,0.9996147416520544
23,R+KSlin,0.9995543647354996
24,R+Hyper+SH,0.999537475439648
25,CHlin,0.9995324762576676
26,R+Sixth,0.9994767697857978
27,R+Sixth+Loss,0.9994767569215242
28,R+SH+Nonlocal,0.9994478717755646
29,R+SH+Loss,0.9993208265586941
30,R+SH,0.999320825757587
31,R+SH+Sixth,0.9991884744404291
32,R+Adv+FracDiff,0.9982301959726594
33,R+FracDiff+Disp,0.9976217356841375
34,R+Diff+Adv+Hyper,0.99731997618836
35,R+Diff+Adv+Hyper+SH,0.9962734377974769
36,R+Adv+Hyper,0.9960118667049246
37,R+Adv+Sixth,0.9955389623344757
38,R+Hyper+Disp,0.9947834861392857
39,R+Disp+Sixth,0.994261247458448
40,R+Diff+Adv,0.9938717898048413
41,R+Adv+Hyper+SH,0.9937384954563795
42,R+Diff+Disp,0.9918466463168037
43,R+Diff+Adv+SH,0.9901573594453861
44,R+Adv+SH,0.9786103317873787
45,R+SH+Disp,0.9721771712822922
46,R+Adv+Nonlocal,0.936328298633379
47,R+Disp+Nonlocal,0.9185726486887218
48,R+Adv,
49,R+Adv+Disp,
50,R+Adv+Loss,
51,R+Disp,
52,R+Disp+Loss,
53,R+Loss,
