Initial condition,Grid,Cubes,Median log10(D/R),True log10(D/R),Error,Good cubes,Total fitted cubes
Random smooth,2,8,3.095063711175035,3.0621479067488444,0.032915804426190576,8,8
Random smooth,3,27,3.0451933720491438,3.0621479067488444,-0.016954534699700652,27,27
Random smooth,4,64,2.997306191603282,3.0621479067488444,-0.06484171514556225,64,64
One central cluster,2,8,3.0761368855313282,3.0621479067488444,0.01398897878248384,8,8
One central cluster,3,27,3.0526632717436533,3.0621479067488444,-0.009484635005191144,27,27
One central cluster,4,64,2.860080049350385,3.0621479067488444,-0.20206785739845934,64,64
Many clusters,2,8,3.065945119469413,3.0621479067488444,0.0037972127205687656,8,8
Many clusters,3,27,3.273518442212162,3.0621479067488444,0.21137053546331774,26,27
Many clusters,4,64,2.959738815191219,3.0621479067488444,-0.10240909155762523,54,64
Clusters + singles,2,8,3.0658927266628018,3.0621479067488444,0.0037448199139573646,8,8
Clusters + singles,3,27,3.242057363783893,3.0621479067488444,0.1799094570350488,26,27
Clusters + singles,4,64,3.0110165813205105,3.0621479067488444,-0.051131325428333874,54,64
