eta,case_id,rep,rhat_signed,dhat_signed,alpha_signed
0.0,case_000,0,0.00041271989174575203,-0.0006261552438934537,-0.001038446548092261
0.0,case_001,0,-0.00023239436619708974,0.00059871589085073,0.0008313034472855822
0.0,case_002,0,-6.137184115539622e-05,0.0002460870351941141,0.0003074777468249525
0.0,case_003,0,0.0005448430493274635,-0.000671624878963245,-0.0012158055051119125
0.02,case_000,0,-0.0021921515561567576,-0.013192702513601995,-0.011024718811945085
0.02,case_000,1,0.0017672530446549788,-0.009042283231863393,-0.010790466791228264
0.02,case_000,2,-0.0061515561569686445,0.04364498376131736,0.0501047621765465
0.02,case_000,3,-0.01271583220568334,0.04364498376131736,0.05708672113411483
0.02,case_000,4,0.017604871447902674,-0.11464739606721051,-0.12996426336573802
0.02,case_000,5,0.0007253044654938849,-0.01423030733403647,-0.014944772289453121
0.02,case_000,6,0.007706359945872959,-0.006967073590994021,-0.014561219537857328
0.02,case_000,7,0.013541271989174545,-0.1162614480101088,-0.12806850947917758
0.02,case_001,0,-0.020386150234741617,0.011784911717496079,0.0328405544286116
0.02,case_001,1,0.023265258215962578,-0.08457142857142862,-0.10538488033435417
0.02,case_001,2,-0.0007746478873239366,0.02020224719101132,0.020993157383350548
0.02,case_001,3,-0.010173708920187674,-0.014685393258426972,-0.004558056680144742
0.02,case_001,4,-0.0011361502347416173,0.01577207062600337,0.016927452990433717
0.02,case_001,5,0.005190140845070596,0.052099518459069113,0.046667168436969914
0.02,case_001,6,-0.009541079812206504,-0.04547512038523278,-0.03628019278801904
0.02,case_001,7,-0.007281690140845056,-0.01590369181380416,-0.008685244935375896
0.02,case_002,0,-0.0008953068592058699,0.005864471184293811,0.006765835542469103
0.02,case_002,1,0.006471119133573915,-0.06667511082963905,-0.07267593532756432
0.02,case_002,2,0.02092599277978333,-0.06043246177508383,-0.07969084451787142
0.02,case_002,3,-0.009651624548736444,0.017101239482493355,0.027013589050458683
0.02,case_002,4,0.007861010830324904,0.050936397358183096,0.04273941155077586
0.02,case_002,5,-0.041619133574007205,0.04831448475527006,0.09383912125109406
0.02,case_002,6,-0.0011732851985560278,0.008111824843933689,0.009296016921549195
0.02,case_002,7,-0.03828339350180511,0.06591875508911593,0.10835016041819452
0.02,case_003,0,-0.006706278026905753,-0.02091431632295667,-0.014303964659947536
0.02,case_003,1,-0.004461883408071731,0.03026102721522909,0.034878534578032507
0.02,case_003,2,-0.01395739910313897,0.06153484826634252,0.0765608375346228
0.02,case_003,3,-0.0037713004484304065,-0.015341890026576536,-0.011614390935890891
0.02,case_003,4,0.0024439461883408865,-0.029443540245987773,-0.031809745128968565
0.02,case_003,5,0.00865919282511218,0.010359504728156756,0.0016857149720533706
0.02,case_003,6,-0.0022174887892375834,0.06164857125198307,0.06400799705711646
0.02,case_003,7,0.013665919282511249,-0.012612538371206534,-0.025924179903688605
0.05,case_000,0,0.006768606224627959,-0.008581125533892453,-0.015246533973761505
0.05,case_000,1,0.026669824086603636,0.05794087239841678,0.03045871961770581
0.05,case_000,2,0.01437483085250345,-0.11603086916112333,-0.1285577047530161
0.05,case_000,3,-0.01011096075778068,-0.01423030733403647,-0.004161422556420329
0.05,case_000,4,0.019584573748308617,-0.0002802869704153902,-0.019483288812123335
0.05,case_000,5,0.01864682002706362,-0.0010873129418645354,-0.0193728901724778
0.05,case_000,6,0.01176995940460094,0.04007101160204257,0.027971824953268984
0.05,case_000,7,0.02250202976995956,-0.08374983030315696,-0.10391359330310651
