record_id,case_id,ic_name,recovered_ic_name,ic_correct,feature_set,single_snapshot,k_fixed,true_rhat,true_dhat,true_alpha,true_tau,estimated_rhat,estimated_dhat,estimated_alpha,estimated_dhat_over_rhat,estimated_tau,rhat_relative_error,dhat_relative_error,alpha_relative_error,rhat_signed_relative_error,dhat_signed_relative_error,dimensions_used,estimated_length_scale_ratio,loss,loss_at_true_parameters,estimate_loss_not_above_truth,success,any_start_succeeded,coarse_rhat,coarse_dhat
case_000|Random spaced|h0,case_000,Random spaced,Random spaced,True,h0,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.739074,9.575424e-05,0.00012955974638534165,0.00012955974638534165,0.739074,0.00010013531799731867,4.970812142992018e-05,0.00014982843630914546,0.00010013531799731867,-4.970812142992018e-05,h0,0.011382431479492493,4.5252651904960105e-07,0.0,False,True,True,0.75,9.6e-05
case_000|Random spaced|h0h1,case_000,Random spaced,Random spaced,True,h0h1,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.73892,9.572112e-05,0.00012954192605424132,0.00012954192605424132,0.73892,0.00010825439783487008,0.0003955763949081252,0.00028735310431049976,-0.00010825439783487008,-0.0003955763949081252,h0h1,0.011381648652732227,5.659014811531798e-07,0.0,False,True,True,0.75,9.6e-05
case_000|One central cluster|h0,case_000,One central cluster,One central cluster,True,h0,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7389970000000001,9.578736000000001e-05,0.00012961806340215182,0.00012961806340215182,0.7389970000000001,4.05953991862547e-06,0.0002961601520484264,0.00030022091072579314,-4.05953991862547e-06,0.0002961601520484264,h0,0.011384992903034758,2.764249984823149e-07,0.0,False,True,True,0.75,9.6e-05
case_000|One central cluster|h0h1,case_000,One central cluster,One central cluster,True,h0h1,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7393050000000001,9.578736000000001e-05,0.00012956406354616836,0.00012956406354616836,0.7393050000000001,0.00041271989174575203,0.0002961601520484264,0.00011651165302042952,0.00041271989174575203,0.0002961601520484264,h0h1,0.011382621119327849,4.850330608321819e-06,0.0,False,True,True,0.75,9.6e-05
case_000|Many clusters|h0,case_000,Many clusters,Many clusters,True,h0,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.738843,9.586463999999999e-05,0.00012974967618289675,0.00012974967618289675,0.738843,0.00021244925575096446,0.00110318612349743,0.001315914944398914,-0.00021244925575096446,0.00110318612349743,h0,0.011390771535892411,1.4018705972559876e-06,0.0,False,True,True,0.75,9.6e-05
case_000|Many clusters|h0h1,case_000,Many clusters,Many clusters,True,h0h1,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.7393050000000001,9.569904000000001e-05,0.00012944459999594213,0.00012944459999594213,0.7393050000000001,0.00041271989174575203,0.0006261552438934537,0.001038446548092261,0.00041271989174575203,-0.0006261552438934537,h0h1,0.011377372279922202,2.5848380984912704e-06,0.0,False,True,True,0.75,9.6e-05
case_000|Clusters + singles|h0,case_000,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.73892,9.565488e-05,0.00012945228170843932,0.00012945228170843932,0.73892,0.00010825439783487008,0.0010873129418645354,0.0009791645428977183,-0.00010825439783487008,-0.0010873129418645354,h0,0.01137770986220159,9.349646501497699e-07,0.0,False,True,True,0.75,9.6e-05
case_000|Clusters + singles|h0h1,case_000,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.739,9.5759e-05,0.00012957916102841678,0.739,0.738843,9.577632e-05,0.00012963013793187454,0.00012963013793187454,0.738843,0.00021244925575096446,0.00018087072755554985,0.0003934035616003165,-0.00021244925575096446,0.00018087072755554985,h0h1,0.011385523173393242,6.588131827327952e-07,0.0,False,True,True,0.75,9.6e-05
case_001|Random spaced|h0,case_001,Random spaced,Random spaced,True,h0,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.851956,9.961824e-05,0.00011692885548079947,0.00011692885548079947,0.851956,5.164319248818425e-05,0.0006195826645264566,0.0005679688037605006,-5.164319248818425e-05,-0.0006195826645264566,h0,0.010813364669740842,1.63369576619228e-07,0.0,False,True,True,0.85,9.6e-05
case_001|Random spaced|h0h1,case_001,Random spaced,Random spaced,True,h0h1,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.851956,9.9552e-05,0.00011685110498664249,0.00011685110498664249,0.851956,5.164319248818425e-05,0.0012841091492776491,0.0012325296085533026,-5.164319248818425e-05,-0.0012841091492776491,h0h1,0.010809768960835495,1.5035164197827716e-06,0.0,False,True,True,0.85,9.6e-05
case_001|One central cluster|h0,case_001,One central cluster,One central cluster,True,h0,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.8516480000000001,9.976176e-05,0.00011713966333508677,0.00011713966333508677,0.8516480000000001,0.00041314553990599525,0.0008202247191011275,0.001233880031038686,-0.00041314553990599525,0.0008202247191011275,h0,0.010823107840869312,8.988497043217438e-06,0.0,False,True,True,0.85,0.000104
case_001|One central cluster|h0h1,case_001,One central cluster,One central cluster,True,h0h1,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.85211,9.9552e-05,0.00011682998673880132,0.00011682998673880132,0.85211,0.00012910798122072123,0.0012841091492776491,0.001413034696441321,0.00012910798122072123,-0.0012841091492776491,h0h1,0.010808792103597947,6.085766567905353e-06,0.0,False,True,True,0.85,0.000104
case_001|Many clusters|h0,case_001,Many clusters,Many clusters,True,h0,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.85211,9.956304e-05,0.00011684294281254767,0.00011684294281254767,0.85211,0.00012910798122072123,0.0011733547351524504,0.0013022945797490154,0.00012910798122072123,-0.0011733547351524504,h0,0.010809391417306882,1.000272593096043e-06,0.0,False,True,True,0.85,9.6e-05
case_001|Many clusters|h0h1,case_001,Many clusters,Many clusters,True,h0h1,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.8518020000000001,9.973968e-05,0.00011709256376481857,0.00011709256376481857,0.8518020000000001,0.00023239436619708974,0.00059871589085073,0.0008313034472855822,-0.00023239436619708974,0.00059871589085073,h0h1,0.010820931741990546,9.064106379403342e-07,0.0,False,True,True,0.85,0.000104
case_001|Clusters + singles|h0,case_001,Clusters + singles,Clusters + singles,True,h0,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.85211,9.983904000000001e-05,0.00011716684465620636,0.00011716684465620636,0.85211,0.00012910798122072123,0.0015955056179776548,0.00146620833755839,0.00012910798122072123,0.0015955056179776548,h0,0.010824363475798767,2.2038183185620345e-06,0.0,False,True,True,0.85,0.000104
case_001|Clusters + singles|h0h1,case_001,Clusters + singles,Clusters + singles,True,h0h1,True,1.0,0.852,9.968e-05,0.00011699530516431924,0.852,0.85211,9.9552e-05,0.00011682998673880132,0.00011682998673880132,0.85211,0.00012910798122072123,0.0012841091492776491,0.001413034696441321,0.00012910798122072123,-0.0012841091492776491,h0h1,0.010808792103597947,2.979177085774011e-06,0.0,False,True,True,0.85,0.000104
case_002|Random spaced|h0,case_002,Random spaced,Random spaced,True,h0,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5540430000000001,8.833536e-05,0.00015943773317233498,0.00015943773317233498,0.5540430000000001,7.761732851988312e-05,0.0010024427757170829,0.0010799762793633396,7.761732851988312e-05,-0.0010024427757170829,h0,0.012626865532361345,1.0157732368608019e-06,0.0,False,True,True,0.55,8.8e-05
case_002|Random spaced|h0h1,case_002,Random spaced,Random spaced,True,h0h1,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5538890000000001,8.842368e-05,0.00015964151662156134,0.00015964151662156134,0.5538890000000001,0.00020036101083027478,3.6189269882479094e-06,0.0001967815111845321,-0.00020036101083027478,-3.6189269882479094e-06,h0h1,0.012634932394815626,7.714114745993881e-07,0.0,False,True,True,0.55,8.8e-05
case_002|One central cluster|h0,case_002,One central cluster,One central cluster,True,h0,True,1.0,0.554,8.8424e-05,0.0001596101083032491,0.554,0.5535810000000001,8.84016e-05,0.00015969045180380103,0.00015969045180380103,0.5535810000000001,0.0007563176895305906,0.00025332488917045664,0.0005033735106506421,-0.0007563176895305906,-0.00025332488917045664,h0,0.01263686874996338,6.5282428188229574e-06,0.0,False,True,True,0.55,9.6e-05
