ic_name,rhat,dhat,tau,alpha,loss,h0_loss,h1_loss,h0_distance,h1_distance
Many clusters,0.75,9.6e-05,0.75,0.000128,0.004838990128598996,0.002542055916992079,0.007135924340205913,0.009241984003325588,0.00592919638623306
Many clusters,0.75,8.8e-05,0.75,0.00011733333333333333,0.03324532231140249,0.007160968457454406,0.059329676165350564,0.01551166951071578,0.01709648012822436
Many clusters,0.75,0.000104,0.75,0.00013866666666666666,0.042755333541057795,0.0034112136759023685,0.08209945340621322,0.010705997184894997,0.020111332662246514
Many clusters,0.7,9.6e-05,0.7,0.00013714285714285716,0.05713796403076518,0.03338569111063504,0.08089023695089533,0.03349290736137267,0.019962676578187233
Many clusters,0.7,0.000104,0.7,0.00014857142857142857,0.05779010060358157,0.044068421250930516,0.07151177995623263,0.0384801192177483,0.018769794199670783
Many clusters,0.7,0.000112,0.7,0.00016,0.06596038518570083,0.0595108215699933,0.07240994880140836,0.04471679160796989,0.018887298195767177
Many clusters,0.75,0.000112,0.75,0.00014933333333333332,0.07336209896193188,0.008967451419213186,0.13775674650465058,0.017358299566321612,0.026051165353867745
Many clusters,0.75,8e-05,0.75,0.00010666666666666668,0.09419420407297159,0.01827392398358973,0.17011448416235345,0.024779273532214735,0.028949519727464127
Many clusters,0.7,8.8e-05,0.7,0.00012571428571428572,0.11931055495150462,0.02909746847189825,0.209523641431111,0.03126801170947053,0.032128262060385736
Many clusters,0.75,0.00012,0.75,0.00016,0.12450088483167075,0.01863717569543597,0.23036459396790554,0.02502434463235934,0.03368826015573311
Many clusters,0.7,0.00012,0.7,0.00017142857142857145,0.1307957356058892,0.07835481061672026,0.1832366605950581,0.05131041123755934,0.030045324649048914
Many clusters,0.8,8.8e-05,0.8,0.00010999999999999999,0.13428182752866216,0.09022948156547071,0.17833417349185363,0.05506135488500295,0.029640669133521633
Many clusters,0.7,0.000128,0.7,0.00018285714285714286,0.15492623449680765,0.10354737576319575,0.2063050932304195,0.05898508522221088,0.0318805416787001
Many clusters,0.8,8e-05,0.8,0.0001,0.1557318453752643,0.10692177046378669,0.20454192028674192,0.059938481125194155,0.03174401687380967
Many clusters,0.8,9.6e-05,0.8,0.00012,0.16397587042064016,0.07842946804184128,0.24952227279943906,0.05133485001230691,0.03506108694045335
Many clusters,0.75,0.000128,0.75,0.00017066666666666665,0.16755365511734302,0.055634738750838755,0.2794725714838473,0.04323601803181771,0.037105672949424066
Many clusters,0.8,0.000104,0.8,0.00013,0.17475559504632915,0.07106131459575514,0.27844987549690314,0.04886402994238267,0.0370377188696258
Many clusters,0.75,7.2e-05,0.75,9.6e-05,0.17562729320216283,0.037154440030433236,0.31410014637389244,0.0353327973805811,0.03933732159390519
Many clusters,0.7,0.000136,0.7,0.0001942857142857143,0.18442180318644946,0.12826342204886637,0.24058018432403258,0.06564838915978449,0.034427116052246264
Many clusters,0.8,7.2e-05,0.8,8.999999999999999e-05,0.1923084092857873,0.13033194075400226,0.25428487781757236,0.06617563143401899,0.03539410897680698
Many clusters,0.75,0.000136,0.75,0.00018133333333333334,0.20450921295183155,0.0690540706052738,0.3399643552983893,0.04816896391742498,0.04092487947425862
Many clusters,0.65,0.000112,0.65,0.0001723076923076923,0.20514682303533044,0.21971108907048223,0.19058255700017862,0.08592086709525211,0.030641660161446316
Many clusters,0.8,0.000112,0.8,0.00014,0.21119089821766235,0.06827406461616779,0.3541077318191569,0.047896143045711284,0.041767494264880814
Many clusters,0.7,8e-05,0.7,0.0001142857142857143,0.21710473694516252,0.03290074216974043,0.4013087317205846,0.03324876437073693,0.044464152762824845
Many clusters,0.7,0.000144,0.7,0.00020571428571428574,0.21772482649883435,0.15112651373836863,0.28432313925930003,0.07125953675397678,0.03742629355559868
Many clusters,0.65,0.000104,0.65,0.00015999999999999999,0.21957027627903508,0.19786449925433647,0.24127605330373372,0.08153735194302453,0.03447686965870535
Many clusters,0.8,0.00012,0.8,0.00015,0.21970860761071268,0.07828361049580435,0.361133604725621,0.05128709334703943,0.04217981478013478
Many clusters,0.65,0.00012,0.65,0.0001846153846153846,0.22531121130168913,0.2375049148785353,0.21311750772484295,0.0893323920861489,0.032402631458648655
Many clusters,0.65,0.000128,0.65,0.0001969230769230769,0.23789736203526074,0.2633742017432776,0.2124205223272439,0.09407176207305944,0.032349602835064155
Many clusters,0.75,0.000144,0.75,0.000192,0.2470845541295667,0.08425675249002207,0.40991235576911134,0.053207765504783386,0.044938256779436025
Many clusters,0.65,0.000136,0.65,0.00020923076923076922,0.25401788487808685,0.28524532493445687,0.22279044482171687,0.09789982836006755,0.033129813965356275
Many clusters,0.7,0.000152,0.7,0.00021714285714285718,0.2582656086365214,0.1761324602120094,0.34039875706103345,0.07692940322765725,0.04095101775031383
Many clusters,0.8,0.000128,0.8,0.00015999999999999999,0.2671419138772546,0.09609450386862745,0.43818932388588183,0.056822709329845525,0.04646239717216622
Many clusters,0.65,9.6e-05,0.65,0.0001476923076923077,0.27505939183951655,0.1757356424098193,0.3743831412692138,0.0768426952750002,0.04294660707839213
Many clusters,0.7,0.00016,0.7,0.0002285714285714286,0.2929139931379378,0.20323995441386092,0.38258803186201473,0.08263750704482092,0.0434146602809104
Many clusters,0.75,0.000152,0.75,0.00020266666666666667,0.2948946007230451,0.10174822844683523,0.4880409729992549,0.05847040351293077,0.04903417345766116
Many clusters,0.65,0.000144,0.65,0.00022153846153846155,0.2949824408451601,0.31671205372016586,0.27325282797015443,0.10315848585738688,0.036690450947202344
Many clusters,0.8,0.000136,0.8,0.00016999999999999999,0.315608088789616,0.10388841838293225,0.5273277591962997,0.05908214172048137,0.05096957751512991
Many clusters,0.65,0.000152,0.65,0.00023384615384615384,0.3197632014235534,0.3502655801194042,0.28926082272770265,0.10848542479125288,0.03774987565493837
Many clusters,0.75,0.00016,0.75,0.00021333333333333336,0.32997719381329144,0.12140728355454951,0.5385471040720333,0.06386972316885094,0.051508934269867454
Many clusters,0.7,0.000168,0.7,0.00024,0.3308472250033374,0.23232303707739477,0.42937141292928,0.08835249151525838,0.04599252784866316
Many clusters,0.7,7.2e-05,0.7,0.00010285714285714287,0.3401207557726635,0.04541383307485365,0.6348276784704733,0.039063103331095604,0.05592405365899017
Many clusters,0.65,0.00016,0.65,0.00024615384615384614,0.3485535725995176,0.3856969435283963,0.3114102016706388,0.113840229190363,0.03916851755795709
Many clusters,0.65,8.8e-05,0.65,0.00013538461538461537,0.3624060136709353,0.16074312423379783,0.5640689031080727,0.07349179675955711,0.05271531376798364
Many clusters,0.8,0.000144,0.8,0.00017999999999999998,0.3691840563943529,0.1124758549899792,0.6258922577987267,0.06147553463454958,0.055529083632273483
Many clusters,0.85,0.000104,0.85,0.00012235294117647058,0.3692353086805927,0.23974078079723551,0.49872983656394987,0.08975189366767011,0.04956822783106189
Many clusters,0.85,8e-05,0.85,9.411764705882353e-05,0.3746988115947194,0.274766564562461,0.47463105862697774,0.09608478100664385,0.0483558246262319
Many clusters,0.75,0.000168,0.75,0.000224,0.3749125017661545,0.14284121502819583,0.6069837885041132,0.06927865230199971,0.05468387260452603
Many clusters,0.85,7.2e-05,0.85,8.470588235294118e-05,0.3769446103414339,0.2974398768874874,0.4564493437953803,0.09997059089933162,0.04742059625758996
Many clusters,0.65,0.000168,0.65,0.00025846153846153846,0.3780549728631305,0.4177782429052198,0.33833170282104114,0.11848014370775578,0.04082649192595546
Many clusters,0.6,0.00012,0.6,0.0002,0.38163507917398387,0.4493028564670884,0.3139673018808794,0.12286897989335431,0.03932900211481405
Many clusters,0.85,0.000112,0.85,0.00013176470588235293,0.3904355066134778,0.23247627289435255,0.548394740332603,0.08838162451611407,0.0519777357992925
Many clusters,0.85,8.8e-05,0.85,0.00010352941176470589,0.39488991903619275,0.25910089713332035,0.5306789409390651,0.09330547349981137,0.0511312775211293
Many clusters,0.85,0.00012,0.85,0.0001411764705882353,0.4034226861021435,0.22492428771304204,0.5819210844912449,0.08693423558188852,0.053543007703769276
Many clusters,0.85,9.6e-05,0.85,0.00011294117647058824,0.4055556627992164,0.24769228743422578,0.563419038164207,0.09122815771839397,0.05268493830582616
Many clusters,0.6,0.000112,0.6,0.00018666666666666666,0.4063296029748893,0.4223934043937422,0.39026580155603635,0.11913276643561162,0.04384811873205742
Many clusters,0.6,0.000128,0.6,0.00021333333333333333,0.41841271559835214,0.49295863979121907,0.3438667914054852,0.1286998095088686,0.04115909670906946
Many clusters,0.6,0.000104,0.6,0.00017333333333333334,0.4240031237907532,0.3972385803590134,0.45076766722249306,0.1155309576707165,0.04712453691946512
Many clusters,0.8,0.000152,0.8,0.00019,0.4278794994048439,0.12339657401545648,0.7323624247942313,0.06439085826421964,0.060066695977068416
Many clusters,0.6,0.000136,0.6,0.00022666666666666668,0.4290564029892391,0.5309470723824645,0.3271657335960137,0.13356672519250645,0.04014714089895753
Many clusters,0.65,8e-05,0.65,0.00012307692307692307,0.43002859635408053,0.15542834330639016,0.7046288494017708,0.07226662483357268,0.05891839763105974
