mode,n_frames,ic_name,case_id,true_rhat,true_dhat,true_tau,true_alpha,estimated_rhat,estimated_dhat,estimated_tau,estimated_alpha,estimated_dhat_over_rhat,estimated_length_scale_ratio,rhat_relative_error,dhat_relative_error,alpha_relative_error
single_snapshot,1,Random spaced,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7389970000000001,9.45288e-05,0.7389970000000001,0.0001279149983017522,0.0001279149983017522,0.011309951295286474,4.05953991862547e-06,0.012846834240123648,0.012842826836173287
single_snapshot,1,Random spaced,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.8518020000000001,9.983904000000001e-05,0.8518020000000001,0.00011720921059119373,0.00011720921059119373,0.010826320270119193,0.00023239436619708974,0.0015955056179776548,0.0018283248765756691
single_snapshot,1,Random spaced,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.5548900000000001,8.954975999999999e-05,0.5548900000000001,0.00016138290471985435,0.00016138290471985435,0.012703657139574193,0.0016064981949459518,0.01273138514430455,0.011107043504018262
single_snapshot,1,Random spaced,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.445935,9.69024e-05,0.445935,0.00021730162467624203,0.00021730162467624203,0.01474115411615529,0.0001457399103138604,0.0018088547353673544,0.0016633572425888616
single_snapshot,1,Random spaced,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9193310000000001,0.00013279344,0.9193310000000001,0.00014444573282093172,0.00014444573282093172,0.012018557851128884,0.00036017410228518087,0.00098973105134465,0.0013494191278069355
single_snapshot,1,Random spaced,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.592851,0.00013032048,0.592851,0.00021981995476097702,0.00021981995476097702,0.01482632640814902,0.00025126475548053074,0.0068722330817191455,0.0071252881709896135
single_snapshot,1,Random spaced,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.711508,0.00012619152,0.711508,0.00017735783715713667,0.00017735783715713667,0.0133175762493457,0.0006910112359549676,0.0008272629378601902,0.000136345918466925
single_snapshot,1,Random spaced,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.808528,0.00010607664,0.808528,0.00013119723744879584,0.00013119723744879584,0.011454136259395373,0.0005834363411619628,0.0003520741843677356,0.0002314972206857777
single_snapshot,1,Random spaced,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.9528260000000001,0.00014174688,0.9528260000000001,0.00014876470625276806,0.00014876470625276806,0.012196913800333593,0.00018258132214049998,0.004341797492361242,0.004159975704084999
single_snapshot,1,Random spaced,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6592250000000001,0.00011812128,0.6592250000000001,0.00017918203951609844,0.00017918203951609844,0.01338588956760433,0.00034142640364192824,0.0013417766587828397,0.001000008825724012
single_snapshot,1,Random spaced,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.880908,0.00014644992,0.880908,0.00016624882507594436,0.00016624882507594436,0.012893751396546482,0.00010442678774118159,0.006769030437849265,0.006665299685943676
single_snapshot,1,Random spaced,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.9962540000000001,0.00012855408,0.9962540000000001,0.0001290374543038221,0.0001290374543038221,0.011359465405723199,0.000255020080321373,0.0009817173825021313,0.0007265120270252143
single_snapshot,1,Random spaced,case_012,0.785,0.000148539,0.785,0.0001892216560509554,0.785043,0.00014869104,0.785043,0.00018940496253071489,0.00018940496253071489,0.013762447548699864,5.477707006371369e-05,0.001023569567588383,0.0009687394328169879
single_snapshot,1,Random spaced,case_013,0.761,0.000149902,0.761,0.00019698028909329827,0.7608650000000001,0.00015042432,0.7608650000000001,0.0001977017210674692,0.0001977017210674692,0.014060644404417217,0.00017739816031522366,0.0034844098144120924,0.003662457687983421
single_snapshot,1,Random spaced,case_014,0.675,0.000116995,0.675,0.0001733259259259259,0.674779,0.0001173816,0.674779,0.00017395562102555056,0.00017395562102555056,0.013189223670313222,0.00032740740740744696,0.0033044147185776647,0.0036330116008944
single_snapshot,1,Random spaced,case_015,0.64,0.000120253,0.64,0.0001878953125,0.64036,0.000117768,0.64036,0.0001839090511587232,0.0001839090511587232,0.013561307133116748,0.0005625000000000421,0.020664765120204907,0.02121533149623828
single_snapshot,1,One central cluster,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7432320000000001,8.871072e-05,0.7432320000000001,0.00011935804701627486,0.00011935804701627486,0.010925110846864431,0.005726657645467015,0.07360436094779599,0.07887930382494475
single_snapshot,1,One central cluster,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.8431780000000001,9.661536e-05,0.8431780000000001,0.00011458477332188457,0.00011458477332188457,0.010704427743783624,0.010354460093896579,0.030744783306581067,0.020603663019204885
single_snapshot,1,One central cluster,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.5540430000000001,8.272704e-05,0.5540430000000001,0.00014931519755686831,0.00014931519755686831,0.012219459789895309,7.761732851988312e-05,0.06442775716999917,0.06450036815225453
