mode,n_frames,ic_name,recovered_ic_name,ic_correct,case_id,true_rhat,true_dhat,true_tau,true_alpha,estimated_rhat,estimated_dhat,estimated_tau,estimated_alpha,estimated_dhat_over_rhat,estimated_length_scale_ratio,rhat_relative_error,dhat_relative_error,alpha_relative_error
single_snapshot,1,Random spaced,Random spaced,True,case_000,0.739,9.5759e-05,0.739,0.00012957916102841678,0.7398440000000002,9.566592e-05,0.7398440000000002,0.00012930552927373876,0.00012930552927373876,0.011371258913319086,0.0011420838971585628,0.0009720235173718004,0.002111695680897423
single_snapshot,1,Random spaced,Random spaced,True,case_001,0.852,9.968e-05,0.852,0.00011699530516431924,0.8525720000000001,9.812784e-05,0.8525720000000001,0.0001150962499354893,0.0001150962499354893,0.010728292032541307,0.000671361502347568,0.015571428571428562,0.01623189260597027
single_snapshot,1,Random spaced,Random spaced,True,case_002,0.554,8.8424e-05,0.554,0.0001596101083032491,0.554967,8.957183999999999e-05,0.554967,0.0001614002994772662,0.0001614002994772662,0.012704341756945386,0.0017454873646208305,0.012981091106486759,0.011216026309661075
single_snapshot,1,Random spaced,Random spaced,True,case_003,0.446,9.7078e-05,0.446,0.00021766367713004482,0.44585800000000003,9.682511999999999e-05,0.44585800000000003,0.00021716582409646117,0.00021716582409646117,0.01473654722438269,0.00031838565022416024,0.0026049156348503704,0.0022872582148201186
single_snapshot,1,Random spaced,Random spaced,True,case_004,0.919,0.000132925,0.919,0.00014464091403699672,0.9186380000000001,0.00013370976,0.9186380000000001,0.00014555217615644028,0.00014555217615644028,0.012064500659224993,0.0003939064200217339,0.005903780327252289,0.006300168424063434
single_snapshot,1,Random spaced,Random spaced,True,case_005,0.593,0.000129431,0.593,0.0002182647554806071,0.5921580000000001,0.00012763776,0.5921580000000001,0.00021554679663197995,0.00021554679663197995,0.014681512068992755,0.00141989881956138,0.013854795219074291,0.01245257780003172
single_snapshot,1,Random spaced,Random spaced,True,case_006,0.712,0.000126296,0.712,0.00017738202247191012,0.7125090000000001,0.00012738384,0.7125090000000001,0.00017878207854216574,0.00017878207854216574,0.013370941572760153,0.0007148876404495685,0.008613416101855871,0.007892885934803981
single_snapshot,1,Random spaced,Random spaced,True,case_007,0.809,0.000106114,0.809,0.00013116687268232384,0.808297,0.00010583376,0.808297,0.00013093424817857793,0.00013093424817857793,0.011442650400085547,0.0008689740420272054,0.0026409333358462955,0.0017735004196471873
single_snapshot,1,Random spaced,Random spaced,True,case_008,0.953,0.000142365,0.953,0.00014938614900314798,0.952056,0.00014105136,0.952056,0.00014815447830799868,0.00014815447830799868,0.012171872424076696,0.0009905561385099106,0.00922726793804664,0.008244878814858138
single_snapshot,1,Random spaced,Random spaced,True,case_009,0.659,0.000117963,0.659,0.00017900303490136569,0.6603800000000001,0.00011724912,0.6603800000000001,0.00017754795723674247,0.00017754795723674247,0.013324712275945866,0.0020940819423369466,0.00605172808422979,0.008128787679074807
single_snapshot,1,Random spaced,Random spaced,True,case_010,0.881,0.000147448,0.881,0.00016736435868331442,0.8828330000000001,0.00014164752000000002,0.8828330000000001,0.00016044656237363127,0.00016044656237363127,0.012666750268858672,0.0020805902383655896,0.039339156855298034,0.04133374850001938
single_snapshot,1,Random spaced,Random spaced,True,case_011,0.996,0.000128428,0.996,0.00012894377510040163,0.9964850000000001,0.00012685392,0.9964850000000001,0.00012730138436604663,0.00012730138436604663,0.011282791514782441,0.00048694779116472764,0.012256517270377288,0.012737262679614848
