sigma_factor,sigma_hat_true,sigma_hat_assumed,case_id,true_length_scale_ratio,rhat_signed,dhat_signed,alpha_signed
0.8,0.009600000000000001,0.012,case_000,0.011383284281279141,-0.00010825439783487008,-0.26959638258544893,-0.26951730462113194
0.8,0.009600000000000001,0.012,case_001,0.010816436805358742,-0.00023239436619708974,-0.2601171749598715,-0.2599451903914414
0.8,0.009600000000000001,0.012,case_002,0.012633689417713619,-6.137184115539622e-05,-0.29190988871799517,-0.29186642925697476
0.8,0.009600000000000001,0.012,case_003,0.014753429334566415,0.00037219730941716366,-0.26689713426316986,-0.2671698916577547
0.9,0.0108,0.012,case_000,0.011383284281279141,0.00020433017591356327,-0.1445073570108293,-0.14468212426284072
0.9,0.0108,0.012,case_001,0.010816436805358742,0.000219483568075174,-0.13850882825040123,-0.13869786991510294
0.9,0.0108,0.012,case_002,0.012633689417713619,-0.00020036101083027478,-0.15457160951777807,-0.15440218468474565
0.9,0.0108,0.012,case_003,0.014753429334566415,-0.0001457399103138604,-0.139982282288469,-0.13985692511387796
0.95,0.0114,0.012,case_000,0.011383284281279141,-4.05953991862547e-06,-0.07441138691924529,-0.07440762944006858
0.95,0.0114,0.012,case_001,0.010816436805358742,0.00012910798122072123,-0.0706163723916533,-0.07073634774581761
0.95,0.0114,0.012,case_002,0.012633689417713619,-6.137184115539622e-05,-0.08003437980638753,-0.07997791635721084
0.95,0.0114,0.012,case_003,0.014753429334566415,0.0001995515695068638,-0.07254455180370421,-0.07272959006936315
1.0,0.012,0.012,case_000,0.011383284281279141,-4.05953991862547e-06,0.00110318612349743,0.0011072501583423776
1.0,0.012,0.012,case_001,0.010816436805358742,-5.164319248818425e-05,-0.0008410914927768541,-0.0007894890720247679
1.0,0.012,0.012,case_002,0.012633689417713619,0.00021660649819496206,0.0003709400162850652,0.00015430009568660587
1.0,0.012,0.012,case_003,0.014753429334566415,2.6905829596563928e-05,-0.001467685778446261,-0.001494551395897636
1.05,0.0126,0.012,case_000,0.011383284281279141,-4.05953991862547e-06,0.07627189089276208,0.07627626007920327
1.05,0.0126,0.012,case_001,0.010816436805358742,-5.164319248818425e-05,0.07325361155698248,0.07330904066236878
1.05,0.0126,0.012,case_002,0.012633689417713619,0.00021660649819496206,0.08165023070659538,0.0814159889761312
1.05,0.0126,0.012,case_003,0.014753429334566415,0.0001995515695068638,0.07449926862934965,0.0742848933927756
1.1,0.013200000000000002,0.012,case_000,0.011383284281279141,-0.00010825439783487008,0.1580120928581125,0.15813746633214018
1.1,0.013200000000000002,0.012,case_001,0.010816436805358742,0.00012910798122072123,0.15155698234349924,0.15140832633892484
1.1,0.013200000000000002,0.012,case_002,0.012633689417713619,-6.137184115539622e-05,0.17166923007328316,0.17174114198452417
1.1,0.013200000000000002,0.012,case_003,0.014753429334566415,2.6905829596563928e-05,0.15683471023300857,0.1568035854728612
1.2,0.0144,0.012,case_000,0.011383284281279141,0.00010013531799731867,0.32967804592779787,0.32954491152529064
1.2,0.0144,0.012,case_001,0.010816436805358742,3.87323943662685e-05,0.31824237560192625,0.3181913188959125
1.2,0.0144,0.012,case_002,0.012633689417713619,0.00021660649819496206,0.35670134805030307,0.3564075413626432
1.2,0.0144,0.012,case_003,0.014753429334566415,-0.0001457399103138604,0.3277603576505492,0.32795389353189336
